ID,Pick Number,Team PF,Team Y/P,Team 1stD,Team Cmp,Team Att,Team Yds.1,Team TD,Team Int,Team NY/A,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Team Sc%,Team Yds.4,Team Pts,Opp. PF,Opp. Y/P,Opp. TO,Opp. 1stD,Opp. Cmp,Opp. Yds.1,Opp. TD,Opp. Int,Opp. NY/A,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Opp. Sc%,Opp. Yds.4,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds.1,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank Att.1,Off. Rank Yds.2,Off. Rank TD.1,Off. Rank Y/A,Off. Rank Sc%,Off. Rank Yds.4,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank TO,Def. Rank 1stD,Def. Rank Yds.1,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank Att.1,Def. Rank Yds.2,Def. Rank TD.1,Def. Rank Y/A,Def. Rank Sc%,Def. Rank Yds.4,Def. Rank Pts
0,1,279.0,4.9,312.0,356.0,616.0,3652.0,18.0,16.0,5.5,385.0,1517.0,9.0,3.9,85.0,29.8,28.5,1.49,420.0,6.1,16.0,328.0,308.0,3917.0,25.0,11.0,7.4,504.0,2382.0,17.0,4.7,124.0,39.3,34.4,2.1,30.0,26.0,24.0,6.0,19.0,28.0,23.0,27.0,25.0,25.0,26.0,24.0,27.0,24.0,28.0,25.0,29.0,28.0,17.0,21.0,17.0,22.0,31.0,32.0,32.0,27.0,25.0,9.0,28.0,22.0
1,2,266.0,5.0,248.0,298.0,479.0,2812.0,18.0,13.0,5.3,356.0,1583.0,9.0,4.4,74.0,29.5,25.0,1.5,435.0,5.7,22.0,354.0,371.0,3823.0,35.0,13.0,6.5,493.0,2339.0,14.0,4.7,120.0,42.0,34.9,2.38,32.0,31.0,32.0,28.0,32.0,28.0,18.0,30.0,31.0,22.0,26.0,13.0,28.0,30.0,29.0,27.0,27.0,15.0,28.0,18.0,30.0,12.0,21.0,31.0,31.0,17.0,26.0,4.0,29.0,30.0
2,3,341.0,5.4,313.0,344.0,571.0,3900.0,28.0,15.0,6.4,407.0,1649.0,7.0,4.1,82.0,33.3,30.3,1.77,423.0,5.9,18.0,365.0,381.0,4551.0,33.0,7.0,7.1,455.0,1855.0,13.0,4.1,94.0,40.3,35.4,2.23,18.0,17.0,23.0,17.0,10.0,10.0,21.0,15.0,16.0,21.0,29.0,22.0,20.0,20.0,21.0,26.0,31.0,24.0,31.0,32.0,27.0,30.0,28.0,26.0,21.0,14.0,10.0,7.0,30.0,24.0
3,4,341.0,5.4,311.0,376.0,607.0,3731.0,30.0,17.0,5.7,362.0,1685.0,11.0,4.7,89.0,28.6,29.2,1.75,451.0,5.7,16.0,343.0,369.0,4225.0,30.0,10.0,7.1,469.0,1812.0,19.0,3.9,100.0,39.8,32.4,2.25,18.0,23.0,25.0,9.0,18.0,5.0,25.0,23.0,29.0,19.0,22.0,7.0,31.0,23.0,23.0,30.0,25.0,28.0,22.0,28.0,25.0,25.0,29.0,29.0,20.0,28.0,4.0,8.0,20.0,25.0
4,5,306.0,4.9,315.0,371.0,615.0,3804.0,22.0,18.0,5.7,349.0,1156.0,10.0,3.3,64.0,30.2,27.1,1.61,494.0,6.0,16.0,361.0,344.0,4198.0,39.0,13.0,7.4,485.0,2166.0,15.0,4.5,113.0,45.9,34.2,2.55,25.0,27.0,18.0,7.0,12.0,19.0,27.0,26.0,32.0,32.0,24.0,31.0,26.0,29.0,25.0,32.0,30.0,28.0,30.0,26.0,32.0,12.0,32.0,30.0,27.0,21.0,22.0,1.0,26.0,32.0
5,6,337.0,5.9,349.0,394.0,597.0,4426.0,24.0,20.0,7.0,366.0,1453.0,12.0,4.0,90.0,38.8,36.6,2.06,345.0,5.4,14.0,285.0,328.0,3204.0,21.0,11.0,6.5,429.0,1805.0,15.0,4.2,101.0,36.6,31.1,1.99,21.0,10.0,7.0,10.0,6.0,17.0,29.0,8.0,28.0,28.0,20.0,23.0,8.0,4.0,11.0,14.0,6.0,32.0,3.0,5.0,8.0,22.0,20.0,21.0,18.0,21.0,15.0,15.0,15.0,18.0
6,7,340.0,5.1,335.0,382.0,633.0,3650.0,17.0,21.0,5.3,386.0,1819.0,20.0,4.7,82.0,32.3,28.5,1.74,470.0,5.8,21.0,355.0,347.0,3696.0,21.0,14.0,6.2,445.0,2296.0,31.0,5.2,128.0,40.1,30.4,2.26,20.0,19.0,15.0,2.0,20.0,31.0,30.0,31.0,24.0,14.0,4.0,6.0,23.0,25.0,22.0,31.0,23.0,17.0,29.0,13.0,8.0,8.0,14.0,25.0,29.0,32.0,32.0,5.0,14.0,28.0
7,8,361.0,5.5,314.0,355.0,554.0,3477.0,20.0,12.0,5.8,396.0,1990.0,18.0,5.0,109.0,38.8,30.6,2.02,442.0,6.0,17.0,375.0,421.0,4510.0,38.0,7.0,7.0,439.0,1922.0,9.0,4.4,94.0,43.0,37.4,2.38,16.0,21.0,20.0,18.0,24.0,25.0,15.0,22.0,19.0,10.0,7.0,2.0,9.0,19.0,14.0,28.0,32.0,25.0,32.0,31.0,31.0,30.0,27.0,23.0,24.0,5.0,20.0,3.0,32.0,29.0
8,9,300.0,5.4,298.0,364.0,589.0,3760.0,24.0,8.0,6.0,389.0,1708.0,3.0,4.4,85.0,33.9,30.9,1.63,397.0,6.0,19.0,340.0,327.0,3778.0,22.0,10.0,6.7,435.0,2229.0,23.0,5.1,114.0,37.2,33.2,2.12,26.0,20.0,27.0,12.0,16.0,17.0,5.0,19.0,23.0,17.0,32.0,15.0,19.0,17.0,26.0,21.0,24.0,22.0,21.0,16.0,12.0,25.0,23.0,22.0,28.0,31.0,31.0,13.0,22.0,23.0
9,10,335.0,5.6,305.0,318.0,539.0,3554.0,22.0,21.0,6.1,393.0,1901.0,15.0,4.8,90.0,33.9,29.7,1.83,393.0,5.7,20.0,345.0,318.0,3470.0,25.0,14.0,6.3,463.0,2315.0,19.0,5.0,124.0,36.8,31.7,2.07,22.0,22.0,26.0,19.0,22.0,19.0,30.0,17.0,22.0,12.0,15.0,4.0,18.0,22.0,20.0,20.0,22.0,19.0,25.0,7.0,17.0,8.0,17.0,28.0,30.0,28.0,30.0,17.0,17.0,21.0
